ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B07FK5SJ2X","($) BETS & EMY","($) BETS & EMY American-Mom Made Baby Wipes 99.9% Water! 540 Count (9 Packs of 60 Count)","($) Baby","($) Sparkfish","1","FBA","34.99","13.71","526","18,404.74","3,591","4.5","311","32","7.5x13.4x6.4","10.15","Large Standard-Size","9","n/a",,
"B072FFRR2R","($) Artyish","($) Premium Hooded Baby Towel, Organic Bamboo, with Baby Bib or Gloves, 35x35 for Newborns Infants Toddlers & Kids, for Boys and Girls at Bath Pool/Beach, Better Than Cotton(Gray)","($) Baby","($) Artyish","2","FBA","14.92","7.00","289","4,311.88","5,049","4.5","497","26","9.1x12.3x2.9","1.65","Large Standard-Size","8","n/a",,
"B01MQS7GFT","Pronexa","Pronexa Hairgenics Lavish Lash – Eyelash Growth Enhancer & Brow Serum with Biotin & Natural Growth Peptides for Long, Thick Lashes and Eyebrows! Dermatologist Certified, Cruelty Free & Hypoallergenic.","Beauty & Personal Care","Big Star Group","4","FBA","29.99","7.00","38,477","1,153,925.23","190","4.5","32,897","2146","4.5x6.7x0.6","0.05","Small Standard-Size","9","n/a",,
"B07QBLNPR2","Visit Amazon's Janet Evanovich Page","Twisted Twenty-Six (Stephanie Plum Book 26)","Kindle Store","N/A","n/a","N/A","9.99","0.00",,,"1,630","4.5","5,984","0","n/a","n/a","n/a","1","n/a",,
"B005E0A1MI","Amazon Renewed","Breville RM-JE98XL Juice Fountain Plus 850-Watt Juice Extractor","Kitchen & Dining","Amazon","2","AMZ","136.56","39.00","171","23,351.76","21,094","4.5","865","35","17.0x20.5x11.3","14.5","Small Oversize","4","08/01/2011",,
"1542046599","Visit Amazon's Teresa Driscoll Page","I Am Watching You","Books","Amazon","32","AMZ","7.29","6.00","1,342","9,783.18","1,685","4.5","18,136","577","5.4x8.0x0.9","0.66","Large Standard-Size","2","n/a",,
"B087YRB3RY","Visit Amazon's Natasha Boyd Page","The Indigo Girl: A Novel","Kindle Store","N/A","n/a","N/A","7.19","0.00",,,"3,509","4.5","2,661","0","n/a","n/a","n/a",,"n/a",,
"B00YQEFCR2","K. L. Randis","Spilled Milk: Based on a True Story","Unknown","N/A","1","N/A","17.98","0.00",,,,"5","8,139","226","n/a","n/a","n/a","1","n/a",,
"0399563091","Visit Amazon's Georgia Hunter Page","We Were the Lucky Ones: A Novel","Books","Amazon","45","AMZ","9.60","7.71","790","7,584.00","3,920","4.5","5,440","0","5.4x8.1x1.0","0.73","Large Standard-Size","1","n/a",,
"B07ZDD5872","($) QHTOY DHSM","($) QHTOY DHSM Flower Toys,Flower Garden Building Toys 3, 4, 5 Year Old Toddler,Build a Bouquet Floral Arrangement Playset for Toddlers and Kids Age ,Best Christmas Birthday Gifts for Creativity Play","($) Toys & Games","($) Jhicksh908","1","FBA","15.99","8.00","334","5,340.66","19,853","4.5","529","71","9.8x13.3x3.5","1.65","Large Standard-Size","7","n/a",,
"B07VCJF9L2","($) LA CHUPETA","($) LA CHUPETA Large Baby Play Mat with Fence, Extra Thick 60x60x0.6 inches, Foam Interlocking Puzzle Tiles, Crawling Mat, Tummy Time & Floor Play, Gray and White, Bonus Teething Ring","($) Unknown","($) La Chupeta","1","FBA","55.95","22.35",,,,"4.5","40","0","13.0x13.0x11.5","4.62","Small Oversize","9","n/a",,
"B07VHFMZHJ","Instant Pot","Instant Vortex Plus Air Fryer 6 in 1, Best Fries Ever, Dehydrator, 6 Qt, 1500W","Kitchen & Dining","Amazon","1","AMZ","119.99","37.00","25,788","3,094,302.12","47","4.5","6,786","4098","15.0x16.5x15.0","16.8","Small Oversize","8","09/05/2019",,
"B01J8BM05Y","Bali","Bali Women's Passion for Comfort Minimizer Underwire Bra","Clothing, Shoes & Jewelry","Amazon","14","AMZ","30.26","7.00","9,704","293,643.04","233","4","12,752","2122","7.3x8.0x1.8","0.2","Large Standard-Size","7","12/14/2002",,
"B07GX3BR7P","Visit Amazon's Blake Pierce Page","If She Knew (A Kate Wise Mystery—Book 1)","Kindle Store","N/A","1","N/A",,"0.00",,,"117","4.5","2,845","0","n/a","n/a","n/a","1","n/a",,
"0062678426","Visit Amazon's A. J Finn Page","The Woman in the Window: A Novel","Books","Amazon","41","AMZ","7.98","7.00","2,158","17,220.84","595","4.5","15,415","504","5.3x8.0x1.1","0.79","Large Standard-Size","4","n/a",,
"1538728575","Visit Amazon's Nicholas Sparks Page","The Return","Books","Amazon","1","AMZ","17.14","9.00","6,735","115,437.90","2","3.5","3","0","6.1x8.7x1.2","1.07","Large Standard-Size","1","n/a",,
"1538714655","Visit Amazon's Kerry Fisher Page","The Silent Wife: A gripping, emotional page-turner with a twist that will take your breath away","Books","Amazon","20","AMZ","11.69","7.00","2,649","30,966.81","1,587","4.5","5,599","496","5.2x7.9x1.1","0.6","Large Standard-Size","1","n/a",,
"B07L3YWSM4","Visit Amazon's Karen Baugh Menuhin Page","Murder at Melrose Court: A 1920s Country House Murder (Heathcliff Lennox Book 1)","Kindle Store","N/A","n/a","N/A","2.99","0.00",,,"1,931","4.5","1,692","0","n/a","n/a","n/a","1","n/a",,
"B06Y1MGNL9","Lisa Wingate","Before We Were Yours: A Novel","Unknown","N/A","1","N/A","29.95","0.00",,,"166","4.5","20,638","1113","n/a","n/a","n/a","1","n/a",,
"B074PNJ4FQ","($) EUREKA","($) Eureka ERV2B 100ml Portable Handheld Fabric Clothes Garment Steamer, Quick Heat With Travel Pouch, Small White/Purple, August 2017 Model","($) Home & Kitchen","($) SHARPER PRODUCTS","3","FBA","19.99","9.41","7","139.93","507,456","4","21","0","6.4x8.7x4.6","1.64","Large Standard-Size","5","n/a",,
"B07D39ZMDJ","($) NANOBÉBÉ","($) nanobébé Complete Newborn Starter Kit - Breastfeeding Baby Bottles Set (Anti Colic) Drying Rack, Pacifiers, Sterilizer, Warmer & Breast Pump Adapter. Top Registry Gift Set","($) Baby","($) nanobébé","2","FBA","79.99","19.70","317","25,356.83","6,673","4.5","540","76","10.3x14.0x7.6","4.05","Large Standard-Size","8","n/a",,
